Results Table 1
;Width;Thickness
;(mm);(mm)
2;9,910;4,04

Raw Data
Time;Displacement;Force
(s);(mm);(kN)
0,0000;0,0000;0,0002
0,0050;0,0000;0,0002
0,0100;0,0002;0,0002
0,0150;0,0007;0,0002
0,0200;0,0015;0,0003
0,0250;0,0026;0,0004
0,0300;0,0040;0,0004
0,0350;0,0057;0,0005
0,0400;0,0075;0,0007
0,0450;0,0093;0,0008
0,0500;0,0112;0,0010
0,0550;0,0130;0,0011
0,0600;0,0146;0,0013
0,0650;0,0163;0,0015
0,0700;0,0179;0,0017
0,0750;0,0195;0,0018
0,0800;0,0211;0,0020
0,0850;0,0228;0,0022
0,0900;0,0244;0,0024
0,0950;0,0260;0,0026
0,1000;0,0276;0,0028
0,1050;0,0292;0,0030
0,1100;0,0309;0,0032
0,1150;0,0326;0,0034
0,1200;0,0342;0,0036
0,1250;0,0359;0,0038
0,1300;0,0376;0,0040
0,1350;0,0392;0,0042
0,1400;0,0409;0,0044
0,1450;0,0426;0,0046
0,1500;0,0443;0,0048
0,1550;0,0460;0,0050
0,1600;0,0476;0,0052
0,1650;0,0493;0,0054
0,1700;0,0509;0,0056
0,1750;0,0525;0,0058
0,1800;0,0542;0,0060
0,1850;0,0559;0,0063
0,1900;0,0575;0,0064
0,1950;0,0592;0,0066
0,2000;0,0608;0,0068
0,2050;0,0624;0,0070
0,2100;0,0641;0,0072
0,2150;0,0658;0,0074
0,2200;0,0675;0,0076
0,2250;0,0692;0,0078
0,2300;0,0708;0,0079
0,2350;0,0725;0,0081
0,2400;0,0741;0,0083
0,2450;0,0758;0,0086
0,2500;0,0775;0,0088
0,2550;0,0791;0,0090
0,2600;0,0808;0,0092
0,2650;0,0824;0,0093
0,2700;0,0840;0,0095
0,2750;0,0856;0,0097
0,2800;0,0873;0,0098
0,2850;0,0890;0,0100
0,2900;0,0907;0,0101
0,2950;0,0923;0,0103
0,3000;0,0940;0,0104
0,3050;0,0957;0,0106
0,3100;0,0974;0,0108
0,3150;0,0990;0,0110
0,3200;0,1007;0,0112
0,3250;0,1024;0,0114
0,3300;0,1041;0,0116
0,3350;0,1057;0,0117
0,3400;0,1073;0,0119
0,3450;0,1090;0,0121
0,3500;0,1107;0,0122
0,3550;0,1124;0,0124
0,3600;0,1140;0,0126
0,3650;0,1157;0,0127
0,3700;0,1173;0,0129
0,3750;0,1190;0,0131
0,3800;0,1207;0,0133
0,3850;0,1224;0,0134
0,3900;0,1241;0,0136
0,3950;0,1258;0,0138
0,4000;0,1274;0,0139
0,4050;0,1290;0,0141
0,4100;0,1307;0,0143
0,4150;0,1324;0,0145
0,4200;0,1341;0,0146
0,4250;0,1358;0,0148
0,4300;0,1374;0,0150
0,4350;0,1390;0,0151
0,4400;0,1407;0,0153
0,4450;0,1423;0,0155
0,4500;0,1440;0,0156
0,4550;0,1457;0,0158
0,4600;0,1474;0,0160
0,4650;0,1491;0,0161
0,4700;0,1507;0,0163
0,4750;0,1524;0,0164
0,4800;0,1541;0,0165
0,4850;0,1558;0,0167
0,4900;0,1575;0,0168
0,4950;0,1592;0,0170
0,5000;0,1608;0,0172
0,5050;0,1625;0,0174
0,5100;0,1641;0,0176
0,5150;0,1657;0,0177
0,5200;0,1674;0,0179
0,5250;0,1691;0,0181
0,5300;0,1708;0,0182
0,5350;0,1724;0,0184
0,5400;0,1741;0,0185
0,5450;0,1757;0,0187
0,5500;0,1774;0,0188
0,5550;0,1791;0,0190
0,5600;0,1808;0,0191
0,5650;0,1825;0,0193
0,5700;0,1842;0,0194
0,5750;0,1858;0,0196
0,5800;0,1874;0,0197
0,5850;0,1891;0,0199
0,5900;0,1908;0,0201
0,5950;0,1924;0,0202
0,6000;0,1941;0,0204
0,6050;0,1957;0,0206
0,6100;0,1973;0,0208
0,6150;0,1989;0,0209
0,6200;0,2006;0,0211
0,6250;0,2023;0,0213
0,6300;0,2040;0,0215
0,6350;0,2057;0,0216
0,6400;0,2073;0,0218
0,6450;0,2090;0,0219
0,6500;0,2107;0,0220
0,6550;0,2124;0,0221
0,6600;0,2141;0,0223
0,6650;0,2157;0,0224
0,6700;0,2174;0,0225
0,6750;0,2190;0,0227
0,6800;0,2207;0,0228
0,6850;0,2223;0,0230
0,6900;0,2240;0,0231
0,6950;0,2257;0,0233
0,7000;0,2273;0,0235
0,7050;0,2289;0,0236
0,7100;0,2306;0,0238
0,7150;0,2322;0,0240
0,7200;0,2340;0,0242
0,7250;0,2357;0,0243
0,7300;0,2374;0,0245
0,7350;0,2391;0,0246
0,7400;0,2407;0,0248
0,7450;0,2424;0,0249
0,7500;0,2441;0,0250
0,7550;0,2458;0,0252
0,7600;0,2474;0,0253
0,7650;0,2491;0,0255
0,7700;0,2507;0,0257
0,7750;0,2523;0,0258
0,7800;0,2540;0,0260
0,7850;0,2556;0,0261
0,7900;0,2573;0,0263
0,7950;0,2590;0,0264
0,8000;0,2606;0,0265
0,8050;0,2623;0,0267
0,8100;0,2640;0,0268
0,8150;0,2656;0,0270
0,8200;0,2673;0,0271
0,8250;0,2690;0,0273
0,8300;0,2707;0,0275
0,8350;0,2724;0,0276
0,8400;0,2740;0,0278
0,8450;0,2756;0,0279
0,8500;0,2772;0,0281
0,8550;0,2789;0,0282
0,8600;0,2805;0,0283
0,8650;0,2822;0,0284
0,8700;0,2839;0,0285
0,8750;0,2855;0,0287
0,8800;0,2872;0,0288
