Results Table 1
;Width;Thickness
;(mm);(mm)
1;9,940;4,03

Raw Data
Time;Displacement;Force
(s);(mm);(kN)
0,0000;0,0000;0,0085
0,0050;0,0000;0,0085
0,0100;0,0002;0,0085
0,0150;0,0007;0,0085
0,0200;0,0015;0,0086
0,0250;0,0027;0,0088
0,0300;0,0041;0,0091
0,0350;0,0057;0,0096
0,0400;0,0075;0,0103
0,0450;0,0093;0,0113
0,0500;0,0111;0,0125
0,0550;0,0128;0,0139
0,0600;0,0146;0,0155
0,0650;0,0163;0,0173
0,0700;0,0180;0,0192
0,0750;0,0196;0,0211
0,0800;0,0213;0,0230
0,0850;0,0230;0,0249
0,0900;0,0246;0,0269
0,0950;0,0263;0,0288
0,1000;0,0280;0,0308
0,1050;0,0297;0,0327
0,1100;0,0313;0,0347
0,1150;0,0329;0,0366
0,1200;0,0345;0,0384
0,1250;0,0362;0,0403
0,1300;0,0379;0,0421
0,1350;0,0395;0,0439
0,1400;0,0412;0,0458
0,1450;0,0428;0,0476
0,1500;0,0444;0,0493
0,1550;0,0461;0,0511
0,1600;0,0478;0,0529
0,1650;0,0494;0,0547
0,1700;0,0511;0,0565
0,1750;0,0528;0,0583
0,1800;0,0544;0,0600
0,1850;0,0560;0,0618
0,1900;0,0577;0,0637
0,1950;0,0594;0,0655
0,2000;0,0611;0,0673
0,2050;0,0627;0,0691
0,2100;0,0643;0,0709
0,2150;0,0660;0,0727
0,2200;0,0676;0,0745
0,2250;0,0693;0,0763
0,2300;0,0710;0,0781
0,2350;0,0726;0,0798
0,2400;0,0743;0,0817
0,2450;0,0760;0,0835
0,2500;0,0776;0,0853
0,2550;0,0793;0,0871
0,2600;0,0810;0,0889
0,2650;0,0827;0,0907
0,2700;0,0844;0,0925
0,2750;0,0860;0,0943
0,2800;0,0876;0,0961
0,2850;0,0892;0,0979
0,2900;0,0909;0,0996
0,2950;0,0926;0,1014
0,3000;0,0942;0,1031
0,3050;0,0959;0,1049
0,3100;0,0975;0,1066
0,3150;0,0991;0,1084
0,3200;0,1008;0,1101
0,3250;0,1025;0,1119
0,3300;0,1042;0,1136
0,3350;0,1059;0,1154
0,3400;0,1076;0,1172
0,3450;0,1092;0,1190
0,3500;0,1108;0,1208
0,3550;0,1125;0,1226
0,3600;0,1142;0,1243
0,3650;0,1158;0,1261
0,3700;0,1175;0,1278
0,3750;0,1191;0,1296
0,3800;0,1207;0,1314
0,3850;0,1223;0,1331
0,3900;0,1240;0,1349
0,3950;0,1257;0,1367
0,4000;0,1274;0,1385
0,4050;0,1291;0,1403
0,4100;0,1307;0,1420
0,4150;0,1324;0,1438
0,4200;0,1341;0,1455
0,4250;0,1357;0,1473
0,4300;0,1374;0,1490
0,4350;0,1391;0,1508
0,4400;0,1408;0,1526
0,4450;0,1425;0,1543
0,4500;0,1441;0,1560
0,4550;0,1458;0,1578
0,4600;0,1475;0,1595
0,4650;0,1491;0,1613
0,4700;0,1508;0,1630
0,4750;0,1525;0,1648
0,4800;0,1541;0,1666
0,4850;0,1557;0,1683
0,4900;0,1574;0,1700
0,4950;0,1591;0,1717
0,5000;0,1608;0,1735
0,5050;0,1625;0,1752
0,5100;0,1642;0,1769
0,5150;0,1658;0,1787
0,5200;0,1675;0,1804
0,5250;0,1691;0,1822
0,5300;0,1708;0,1839
0,5350;0,1725;0,1857
0,5400;0,1741;0,1874
0,5450;0,1757;0,1891
0,5500;0,1774;0,1909
0,5550;0,1790;0,1926
0,5600;0,1807;0,1943
0,5650;0,1823;0,1960
0,5700;0,1840;0,1977
0,5750;0,1857;0,1994
0,5800;0,1874;0,2012
0,5850;0,1890;0,2029
0,5900;0,1907;0,2046
0,5950;0,1924;0,2064
0,6000;0,1941;0,2081
0,6050;0,1958;0,2098
0,6100;0,1974;0,2115
0,6150;0,1991;0,2133
0,6200;0,2007;0,2150
0,6250;0,2024;0,2167
0,6300;0,2040;0,2184
0,6350;0,2057;0,2201
0,6400;0,2074;0,2218
0,6450;0,2090;0,2235
0,6500;0,2107;0,2252
0,6550;0,2124;0,2269
0,6600;0,2140;0,2286
0,6650;0,2157;0,2303
0,6700;0,2174;0,2320
0,6750;0,2191;0,2337
0,6800;0,2208;0,2354
0,6850;0,2224;0,2371
0,6900;0,2241;0,2389
0,6950;0,2257;0,2406
0,7000;0,2274;0,2423
0,7050;0,2291;0,2440
0,7100;0,2308;0,2458
0,7150;0,2324;0,2475
0,7200;0,2340;0,2492
0,7250;0,2357;0,2509
0,7300;0,2373;0,2526
0,7350;0,2390;0,2543
0,7400;0,2407;0,2561
0,7450;0,2424;0,2577
0,7500;0,2440;0,2594
0,7550;0,2457;0,2611
0,7600;0,2474;0,2628
0,7650;0,2491;0,2645
0,7700;0,2508;0,2662
0,7750;0,2525;0,2678
0,7800;0,2542;0,2695
0,7850;0,2558;0,2712
0,7900;0,2574;0,2728
0,7950;0,2591;0,2745
0,8000;0,2607;0,2762
0,8050;0,2624;0,2779
0,8100;0,2641;0,2795
0,8150;0,2658;0,2812
0,8200;0,2674;0,2829
0,8250;0,2690;0,2846
0,8300;0,2707;0,2863
0,8350;0,2724;0,2880
0,8400;0,2741;0,2896
0,8450;0,2758;0,2913
0,8500;0,2775;0,2930
0,8550;0,2791;0,2948
0,8600;0,2808;0,2965
0,8650;0,2824;0,2982
0,8700;0,2841;0,2999
0,8750;0,2858;0,3016
0,8800;0,2874;0,3032
0,8850;0,2891;0,3049
0,8900;0,2907;0,3065
0,8950;0,2923;0,3082
0,9000;0,2940;0,3098
0,9050;0,2957;0,3114
0,9100;0,2974;0,3131
0,9150;0,2990;0,3147
0,9200;0,3007;0,3164
0,9250;0,3024;0,3181
0,9300;0,3040;0,3197
0,9350;0,3057;0,3214
0,9400;0,3074;0,3231
0,9450;0,3091;0,3248
0,9500;0,3108;0,3265
0,9550;0,3124;0,3283
0,9600;0,3140;0,3300
0,9650;0,3157;0,3317
0,9700;0,3174;0,3333
0,9750;0,3190;0,3350
0,9800;0,3207;0,3367
0,9850;0,3223;0,3384
0,9900;0,3240;0,3400
0,9950;0,3256;0,3416
1,0000;0,3273;0,3433
1,0050;0,3290;0,3449
1,0100;0,3308;0,3465
1,0150;0,3325;0,3482
1,0200;0,3341;0,3499
1,0250;0,3358;0,3515
1,0300;0,3374;0,3532
1,0350;0,3391;0,3548
1,0400;0,3408;0,3565
1,0450;0,3425;0,3582
1,0500;0,3441;0,3598
1,0550;0,3457;0,3615
1,0600;0,3473;0,3632
1,0650;0,3490;0,3648
1,0700;0,3506;0,3665
1,0750;0,3523;0,3681
1,0800;0,3540;0,3698
1,0850;0,3557;0,3714
1,0900;0,3574;0,3730
1,0950;0,3590;0,3747
1,1000;0,3607;0,3763
1,1050;0,3624;0,3780
1,1100;0,3641;0,3797
1,1150;0,3657;0,3814
1,1200;0,3674;0,3831
1,1250;0,3690;0,3848
1,1300;0,3706;0,3865
1,1350;0,3723;0,3881
1,1400;0,3739;0,3898
1,1450;0,3756;0,3914
1,1500;0,3772;0,3931
1,1550;0,3789;0,3947
1,1600;0,3806;0,3963
1,1650;0,3822;0,3980
1,1700;0,3839;0,3995
1,1750;0,3856;0,4012
1,1800;0,3873;0,4028
1,1850;0,3890;0,4044
1,1900;0,3906;0,4061
1,1950;0,3923;0,4077
1,2000;0,3940;0,4094
1,2050;0,3957;0,4111
1,2100;0,3974;0,4127
1,2150;0,3990;0,4144
1,2200;0,4007;0,4161
1,2250;0,4023;0,4177
1,2300;0,4040;0,4194
1,2350;0,4056;0,4210
1,2400;0,4073;0,4227
1,2450;0,4090;0,4243
1,2500;0,4107;0,4259
1,2550;0,4123;0,4276
1,2600;0,4140;0,4292
1,2650;0,4157;0,4308
1,2700;0,4173;0,4324
1,2750;0,4190;0,4341
1,2800;0,4207;0,4358
1,2850;0,4224;0,4374
1,2900;0,4240;0,4391
1,2950;0,4256;0,4408
1,3000;0,4273;0,4424
1,3050;0,4290;0,4440
1,3100;0,4306;0,4457
1,3150;0,4323;0,4473
1,3200;0,4339;0,4489
1,3250;0,4356;0,4505
1,3300;0,4372;0,4521
1,3350;0,4389;0,4537
1,3400;0,4406;0,4553
1,3450;0,4423;0,4569
1,3500;0,4441;0,4586
1,3550;0,4457;0,4602
1,3600;0,4474;0,4619
1,3650;0,4490;0,4636
1,3700;0,4507;0,4652
1,3750;0,4524;0,4669
1,3800;0,4541;0,4685
1,3850;0,4557;0,4701
1,3900;0,4574;0,4718
1,3950;0,4590;0,4735
1,4000;0,4606;0,4751
1,4050;0,4623;0,4767
1,4100;0,4640;0,4784
1,4150;0,4657;0,4800
1,4200;0,4674;0,4816
1,4250;0,4690;0,4831
1,4300;0,4707;0,4847
1,4350;0,4723;0,4864
1,4400;0,4740;0,4880
1,4450;0,4757;0,4896
1,4500;0,4774;0,4912
1,4550;0,4791;0,4928
1,4600;0,4807;0,4945
1,4650;0,4824;0,4961
1,4700;0,4840;0,4977
1,4750;0,4857;0,4994
1,4800;0,4874;0,5010
1,4850;0,4891;0,5026
1,4900;0,4907;0,5043
1,4950;0,4923;0,5059
1,5000;0,4940;0,5075
1,5050;0,4956;0,5092
1,5100;0,4973;0,5108
1,5150;0,4990;0,5124
1,5200;0,5007;0,5140
1,5250;0,5024;0,5156
1,5300;0,5040;0,5173
1,5350;0,5057;0,5189
1,5400;0,5074;0,5205
1,5450;0,5091;0,5221
1,5500;0,5108;0,5238
1,5550;0,5124;0,5254
1,5600;0,5141;0,5270
1,5650;0,5157;0,5286
1,5700;0,5174;0,5302
1,5750;0,5191;0,5318
1,5800;0,5208;0,5334
1,5850;0,5225;0,5351
1,5900;0,5241;0,5367
1,5950;0,5258;0,5383
1,6000;0,5274;0,5400
1,6050;0,5291;0,5416
1,6100;0,5308;0,5432
1,6150;0,5325;0,5448
1,6200;0,5341;0,5464
1,6250;0,5358;0,5480
1,6300;0,5374;0,5496
1,6350;0,5390;0,5513
1,6400;0,5407;0,5529
1,6450;0,5424;0,5545
1,6500;0,5440;0,5561
1,6550;0,5457;0,5577
1,6600;0,5474;0,5593
1,6650;0,5490;0,5609
1,6700;0,5507;0,5625
1,6750;0,5523;0,5641
1,6800;0,5541;0,5657
1,6850;0,5558;0,5673
1,6900;0,5575;0,5689
1,6950;0,5591;0,5705
1,7000;0,5607;0,5721
1,7050;0,5624;0,5738
1,7100;0,5641;0,5754
1,7150;0,5658;0,5770
1,7200;0,5675;0,5786
1,7250;0,5691;0,5802
1,7300;0,5708;0,5818
1,7350;0,5724;0,5835
